customer_id,timestamp,amount,transaction_type,recipient_country,customer_type,country,risk_score,profession,naics_code,is_anomaly
217,2025-01-23 14:05:30.386204,74.53902890361375,withdrawal,US,individual,US,76.88005022067128,retired,,0
142,2025-01-23 14:12:14.386204,99.46514056743834,deposit,CA,individual,CA,76.92489695352931,student,,0
384,2025-01-23 14:19:02.386204,22.700226951426394,withdrawal,US,individual,US,38.78278257487244,self-employed,,0
201,2025-01-23 14:30:03.386204,43.582050547846734,transfer,JP,individual,US,45.308174260636534,unemployed,,0
303,2025-01-23 14:33:41.386204,2318.378710544802,deposit,CA,company,CA,24.718241058724644,,721110,0
534,2025-01-23 14:33:41.386204,45.37134247594822,transfer,CN,individual,US,22.3658206676553,unemployed,,1
534,2025-01-23 14:43:41.386204,45.37134247594822,transfer,CN,individual,US,22.3658206676553,unemployed,,1
846,2025-01-23 14:45:25.386204,93.81700888556833,withdrawal,US,individual,US,34.02178090616952,self-employed,,0
75,2025-01-23 14:46:28.386204,17.725418132110697,transfer,FR,individual,US,42.19469938485347,employee,,0
618,2025-01-23 14:48:56.386204,107.29286959001396,transfer,FR,individual,CA,81.23893758919736,retired,,0
71,2025-01-23 14:49:13.386204,79.71357197725041,transfer,CN,individual,US,57.05628774045686,student,,0
624,2025-01-23 14:49:13.386204,91.57146947484827,withdrawal,US,individual,US,92.3505984640811,student,,1
534,2025-01-23 14:53:41.386204,45.37134247594822,transfer,CN,individual,US,22.3658206676553,unemployed,,1
624,2025-01-23 14:59:13.386204,91.57146947484827,withdrawal,US,individual,US,92.3505984640811,student,,1
534,2025-01-23 15:03:41.386204,2268.567123797411,transfer,CN,individual,US,22.3658206676553,unemployed,,1
783,2025-01-23 15:06:00.386204,87.39868721575763,withdrawal,JP,individual,JP,75.71003275525594,unemployed,,0
439,2025-01-23 15:07:54.386204,104.67807387757497,deposit,CA,individual,CA,29.780968469677084,student,,0
624,2025-01-23 15:09:13.386204,91.57146947484827,withdrawal,US,individual,US,92.3505984640811,student,,1
620,2025-01-23 15:14:34.386204,81.37658335369835,transfer,US,individual,GB,53.69185193232787,student,,0
545,2025-01-23 15:15:11.386204,40.615541925688305,deposit,US,individual,US,66.60957277137176,unemployed,,0
742,2025-01-23 15:16:33.386204,107.42511682093696,deposit,US,individual,US,97.8705817163308,retired,,0
857,2025-01-23 15:17:10.386204,55.49334221246443,deposit,CA,individual,CA,27.9802429084665,student,,0
624,2025-01-23 15:19:13.386204,91.57146947484827,withdrawal,US,individual,US,92.3505984640811,student,,1
144,2025-01-23 15:21:39.386204,34500.48843129619,transfer,FR,company,DE,81.36084793978253,,522320,0
828,2025-01-23 15:33:24.386204,964.9741097336627,withdrawal,CA,company,CA,25.802303733596467,,453998,0
32,2025-01-23 15:37:29.386204,38.34190501608774,transfer,US,individual,GB,81.04292129572035,retired,,0
654,2025-01-23 15:40:06.386204,82.6814010811551,withdrawal,CA,individual,CA,77.79733670203474,self-employed,,0
190,2025-01-23 15:42:01.386204,23.904530021426677,deposit,CA,individual,CA,80.04748452662614,self-employed,,0
645,2025-01-23 15:42:15.386204,5459.272829040349,transfer,DE,company,US,27.294556770252008,,423990,0
681,2025-01-23 15:44:52.386204,454.64955557308565,withdrawal,US,company,US,56.119009303554904,,423990,0
218,2025-01-23 15:59:04.386204,47.11371607299865,withdrawal,CA,individual,CA,25.22166669125635,self-employed,,0
449,2025-01-23 16:05:40.386204,1450.4799428427707,deposit,US,company,US,81.62014372003632,,561499,0
784,2025-01-23 16:12:17.386204,3230.4628944737065,transfer,US,company,JP,17.539880926184924,,423990,0
167,2025-01-23 16:13:32.386204,131.94299261971815,deposit,GB,individual,GB,16.536430396579938,employee,,0
604,2025-01-23 16:14:34.386204,74.46602067163612,withdrawal,US,individual,US,40.97173826316529,employee,,0
489,2025-01-23 16:18:29.386204,6928.5093598762505,withdrawal,US,company,US,77.44105456168604,,522320,0
600,2025-01-23 16:20:27.386204,61.920291191480096,deposit,CA,individual,CA,4.962471296374837,retired,,0
234,2025-01-23 16:21:32.386204,69.18323844336813,transfer,US,individual,US,17.36654354404371,self-employed,,0
426,2025-01-23 16:25:14.386204,78.48972939943498,transfer,US,individual,JP,43.03194076614193,retired,,0
781,2025-01-23 16:26:47.386204,58.58470497976556,withdrawal,US,individual,US,21.573055212299842,employee,,0
387,2025-01-23 16:26:47.386204,44.85347902258783,deposit,US,individual,US,14.35512067227086,retired,,0
376,2025-01-23 16:27:48.386204,2097.6193607861037,transfer,DE,company,CA,48.909241209018575,,423990,0
225,2025-01-23 16:40:59.386204,28.145095209970417,deposit,GB,individual,GB,3.2801516029573152,unemployed,,0
261,2025-01-23 16:43:37.386204,49.058388801172256,deposit,US,individual,US,83.60485552852876,student,,0
123,2025-01-23 16:48:44.386204,33.19455397257347,withdrawal,US,individual,US,87.11189398358485,unemployed,,0
864,2025-01-23 17:00:22.386204,8452.666614926418,transfer,GB,individual,GB,64.28061736920661,retired,,1
531,2025-01-23 17:00:22.386204,17.236132123057654,withdrawal,GB,individual,GB,50.45426814403232,student,,0
641,2025-01-23 17:07:02.386204,42.75254205986904,transfer,FR,individual,GB,68.8548012784297,retired,,0
314,2025-01-23 17:10:37.386204,2488.8211804386806,transfer,GB,company,US,84.5951868171057,,423990,0
602,2025-01-23 17:14:24.386204,105.72527174817407,deposit,CA,individual,CA,3.909734574322876,employee,,0
106,2025-01-23 17:19:54.386204,46.088517058938734,transfer,CN,individual,CA,12.555519299978634,self-employed,,0
952,2025-01-23 17:24:16.386204,17126.02995036113,transfer,CN,company,DE,14.48480280225455,,721110,0
515,2025-01-23 17:35:04.386204,56.45050620747076,withdrawal,CN,individual,CN,96.55585841579968,student,,0
