alert_date,account_number,segment,rule_id,param,value,score,alert_score,is_issue
2024-03-13,1967,CORP,AML-TUA,transaction_count,15.0,15,45,0
2024-03-13,1967,CORP,AML-CHG,activity_ratio_change,1.3026480217399314,15,45,0
2024-03-13,1967,CORP,AML-FTF,transaction_velocity,6.320406587244664,15,45,0
2024-03-13,3573,CORP,AML-MNT,transaction_frequency,6.0,15,40,0
2024-03-13,3573,CORP,AML-FTF,foreign_transaction_ratio,1.1130113846238805,15,40,0
2024-03-13,3573,CORP,AML-CHG,volume_increase,8.093501823559636,10,40,0
2024-03-13,5557,CORP,AML-AUG,consecutive_inc,8.161182938493258,10,40,0
2024-03-13,5557,CORP,AML-MNT,destination_count,15.0,15,40,0
2024-03-13,5557,CORP,AML-FTF,transaction_velocity,6.207901522302279,15,40,0
2024-03-15,8634,IND,AML-MNT,activity_value,50000.0,25,70,1
2024-03-15,8634,IND,AML-AUG,consecutive_inc,8.721266197644578,25,70,1
2024-03-15,8634,IND,AML-TUA,transaction_count,7.0,20,70,1
2024-03-16,6545,IND,AML-MNT,destination_count,5.0,15,45,0
2024-03-16,6545,IND,AML-TUA,activity_value,20000.0,15,45,0
2024-03-16,6545,IND,AML-CHG,activity_ratio_change,1.3879254630582767,15,45,0
2024-03-17,3375,CORP,AML-MNT,destination_count,10.0,10,40,0
2024-03-17,3375,CORP,AML-AUG,seasonal_factor,1.260074239888438,15,40,0
2024-03-17,3375,CORP,AML-CHG,activity_ratio_change,1.1999467708622267,15,40,0
2024-03-21,1582,IND,AML-TUA,activity_value,20000.0,15,40,0
2024-03-21,1582,IND,AML-CHG,activity_ratio_change,1.4586663191614506,15,40,0
2024-03-21,1582,IND,AML-AUG,consecutive_inc,3.5738031535258346,10,40,0
2024-03-21,1999,CORP,AML-AUG,seasonal_factor,0.6693819845352796,10,40,0
2024-03-21,1999,CORP,AML-MNT,activity_value,100000.0,15,40,0
2024-03-21,1999,CORP,AML-CHG,activity_ratio_change,1.1151183011818226,15,40,0
2024-03-21,4707,CORP,AML-TUA,transaction_count,15.0,15,45,0
2024-03-21,4707,CORP,AML-CHG,activity_ratio_change,1.1304157560006796,15,45,0
2024-03-21,4707,CORP,AML-FTF,foreign_transaction_ratio,1.2009043420212633,15,45,0
2024-03-21,8856,IND,AML-FTF,transaction_velocity,3.0766930915824755,15,40,0
2024-03-21,8856,IND,AML-CHG,volume_increase,5.144410450414472,15,40,0
2024-03-21,8856,IND,AML-TUA,avg_transaction_size,10000.0,10,40,0
2024-03-22,1681,CORP,AML-FTF,transaction_velocity,4.737810497651807,10,40,0
2024-03-22,1681,CORP,AML-CHG,activity_ratio_change,1.289085531249688,15,40,0
2024-03-22,1681,CORP,AML-TUA,activity_value,100000.0,15,40,0
2024-03-23,2258,CORP,AML-MNT,destination_count,15.0,15,40,0
2024-03-23,2258,CORP,AML-FTF,high_risk_country_count,8.514667718832214,10,40,0
2024-03-23,2258,CORP,AML-CHG,pattern_deviation,5.183345864086827,15,40,0
2024-03-23,4285,CORP,AML-TUA,activity_value,100000.0,15,40,0
2024-03-23,4285,CORP,AML-FTF,foreign_transaction_ratio,0.6642983198779437,10,40,0
2024-03-23,4285,CORP,AML-MNT,activity_value,100000.0,15,40,0
2024-03-25,6744,CORP,AML-TUA,activity_value,100000.0,15,40,0
2024-03-25,6744,CORP,AML-FTF,high_risk_country_count,16.91500568948106,15,40,0
2024-03-25,6744,CORP,AML-MNT,destination_count,10.0,10,40,0
2024-03-27,4311,IND,AML-TUA,transaction_count,5.0,15,40,0
2024-03-27,4311,IND,AML-AUG,consecutive_inc,3.591731776388664,10,40,0
2024-03-27,4311,IND,AML-FTF,high_risk_country_count,4.628752634017238,15,40,0
2024-03-27,6595,CORP,AML-TUA,activity_value,100000.0,15,45,0
2024-03-27,6595,CORP,AML-AUG,consecutive_inc,17.720823947438337,15,45,0
2024-03-27,6595,CORP,AML-FTF,transaction_velocity,6.082402700240463,15,45,0
2024-03-27,8496,IND,AML-FTF,foreign_transaction_ratio,1.4302506463231937,15,40,0
2024-03-27,8496,IND,AML-CHG,activity_ratio_change,1.0578756346659133,10,40,0
2024-03-27,8496,IND,AML-TUA,activity_value,20000.0,15,40,0
2024-03-28,3667,IND,AML-TUA,activity_value,20000.0,15,45,0
2024-03-28,3667,IND,AML-MNT,transaction_frequency,3.0,15,45,0
2024-03-28,3667,IND,AML-AUG,seasonal_factor,1.4142634963407525,15,45,0
2024-03-28,4123,IND,AML-TUA,avg_transaction_size,10000.0,10,40,0
2024-03-28,4123,IND,AML-AUG,peak_deviation,2.722028383612255,15,40,0
2024-03-28,4123,IND,AML-MNT,destination_count,5.0,15,40,0
2024-03-28,4455,CORP,AML-AUG,seasonal_factor,1.151596114034666,15,45,0
2024-03-28,4455,CORP,AML-CHG,volume_increase,15.060844424478555,15,45,0
2024-03-28,4455,CORP,AML-MNT,destination_count,15.0,15,45,0
